UEI,Start Date,End Date,Duration(Days),Main Cause,District
UEI-IMD-FL-1971-0002,1971-05-08,1971-05-14,7.0,heavy rains,Thrissur
UEI-IMD-FL-1975-0025,1975-06-15,1975-06-30,16.0,floods,Kasaragod
UEI-IMD-FL-1975-0025,1975-06-15,1975-06-30,16.0,floods,Wayanad
UEI-IMD-FL-1975-0025,1975-06-15,1975-06-30,16.0,floods,Kozhikode
UEI-IMD-FL-1975-0025,1975-06-15,1975-06-30,16.0,floods,Malappuram
UEI-IMD-FL-1975-0025,1975-06-15,1975-06-30,16.0,floods,Palakkad
UEI-IMD-FL-1975-0025,1975-06-15,1975-06-30,16.0,floods,Thrissur
UEI-IMD-FL-1975-0025,1975-06-15,1975-06-30,16.0,floods,Idukki
UEI-IMD-FL-1975-0025,1975-06-15,1975-06-30,16.0,floods,Ernakulam
UEI-IMD-FL-1975-0025,1975-06-15,1975-06-30,16.0,floods,Alappuzha
UEI-IMD-FL-1975-0025,1975-06-15,1975-06-30,16.0,floods,Kottayam
UEI-IMD-FL-1975-0025,1975-06-15,1975-06-30,16.0,floods,Pathanamthitta
UEI-IMD-FL-1975-0025,1975-06-15,1975-06-30,16.0,floods,Kollam
UEI-IMD-FL-1975-0025,1975-06-15,1975-06-30,16.0,floods,Thiruvananthapuram
UEI-IMD-FL-1975-0025,1975-06-15,1975-06-30,16.0,floods,Kannur
UEI-IMD-FL-1975-0026,1975-11-01,1975-11-07,7.0,heavy rains,Thiruvananthapuram
UEI-IMD-FL-1975-0026,1975-11-01,1975-11-07,7.0,heavy rains,Kollam
UEI-IMD-FL-1975-0026,1975-11-01,1975-11-07,7.0,heavy rains,Alappuzha
UEI-IMD-FL-1975-0026,1975-11-01,1975-11-07,7.0,heavy rains,Kottayam
UEI-IMD-FL-1975-0026,1975-11-01,1975-11-07,7.0,heavy rains,Thrissur
UEI-IMD-FL-1976-0026,1976-07-22,1976-07-28,7.0,heavy rains,Thiruvananthapuram
UEI-IMD-FL-1976-0026,1976-07-22,1976-07-28,7.0,heavy rains,Kottayam
UEI-IMD-FL-1976-0026,1976-07-22,1976-07-28,7.0,heavy rains,Ernakulam
UEI-IMD-FL-1976-0026,1976-07-22,1976-07-28,7.0,heavy rains,Kozhikode
UEI-IMD-FL-1976-0026,1976-07-22,1976-07-28,7.0,heavy rains,Thrissur
UEI-IMD-FL-1978-0032,1978-11-01,1978-11-07,7.0,severe,Thiruvananthapuram
UEI-IMD-FL-1978-0032,1978-11-01,1978-11-07,7.0,severe,Kollam
UEI-IMD-FL-1978-0032,1978-11-01,1978-11-07,7.0,severe,Alappuzha
UEI-IMD-FL-1978-0032,1978-11-01,1978-11-07,7.0,severe,Thrissur
UEI-IMD-FL-1978-0032,1978-11-01,1978-11-07,7.0,severe,Kannur
UEI-IMD-FL-1978-0032,1978-11-01,1978-11-07,7.0,severe,Malappuram
UEI-IMD-FL-1979-0021,1979-06-10,1979-06-19,10.0,heavy rains,Alappuzha
UEI-IMD-FL-1979-0022,1979-06-14,1979-06-14,1.0,heavy rains,Ernakulam
UEI-IMD-FL-1979-0023,1979-07-02,1979-07-02,1.0,heavy rains,Kannur
UEI-IMD-FL-1979-0024,1979-07-29,1979-07-31,3.0,heavy rains,Kozhikode
UEI-IMD-FL-1979-0025,1979-08-01,1979-08-03,3.0,heavy rains,Kannur
UEI-IMD-FL-1979-0025,1979-08-01,1979-08-03,3.0,heavy rains,Kozhikode
UEI-IMD-FL-1979-0026,1979-08-06,1979-08-07,2.0,heavy rains,Kannur
UEI-IMD-FL-1979-0027,1979-11-15,1979-11-19,5.0,moderate floods,Palakkad
UEI-IMD-FL-1980-0021,1980-06-15,1980-06-21,7.0,heavy rains,Kannur
UEI-IMD-FL-1980-0021,1980-06-15,1980-06-21,7.0,heavy rains,Malappuram
UEI-IMD-FL-1980-0021,1980-06-15,1980-06-21,7.0,heavy rains,Kozhikode
UEI-IMD-FL-1980-0021,1980-06-15,1980-06-21,7.0,heavy rains,Kollam
UEI-IMD-FL-1980-0021,1980-06-15,1980-06-21,7.0,heavy rains,Thiruvananthapuram
UEI-IMD-FL-1980-0022,1980-06-22,1980-06-28,7.0,heavy rains,Palakkad
UEI-IMD-FL-1980-0023,1980-07-01,1980-07-14,14.0,heavy rains,Alappuzha
UEI-IMD-FL-1980-0023,1980-07-01,1980-07-14,14.0,heavy rains,Kannur
UEI-IMD-FL-1980-0023,1980-07-01,1980-07-14,14.0,heavy rains,Kottayam
UEI-IMD-FL-1980-0023,1980-07-01,1980-07-14,14.0,heavy rains,Kozhikode
UEI-IMD-FL-1980-0023,1980-07-01,1980-07-14,14.0,heavy rains,Malappuram
UEI-IMD-FL-1980-0023,1980-07-01,1980-07-14,14.0,heavy rains,Palakkad
UEI-IMD-FL-1980-0023,1980-07-01,1980-07-14,14.0,heavy rains,Thrissur
UEI-IMD-FL-1980-0024,1980-08-22,1980-08-28,7.0,heavy rains,Alappuzha
UEI-IMD-FL-1980-0024,1980-08-22,1980-08-28,7.0,heavy rains,Kozhikode
UEI-IMD-FL-1980-0024,1980-08-22,1980-08-28,7.0,heavy rains,Kollam
UEI-IMD-FL-1980-0024,1980-08-22,1980-08-28,7.0,heavy rains,Thrissur
UEI-IMD-FL-1980-0024,1980-08-22,1980-08-28,7.0,heavy rains,Thiruvananthapuram
UEI-IMD-FL-1980-0025,1980-09-22,1980-09-28,7.0,heavy rains,Kottayam
