UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage,Event Source,Event Souce ID,District_LGD_Codes,State_Codes
UEI-IMD-FL-1970-0010,1970-09-11,1970-09-20,10.0,heavy rains,,,Kerala,,,,,,,,,,"Disrupted normal life, flooding low-lying areas,affecting communications",IMD,,,32
UEI-IMD-FL-1971-0002,1971-05-08,1971-05-14,7.0,heavy rains,,Thrissur,Kerala,,,,,,,,,,"Caused considerable damage to property like plantatin,coconut groves,disrupted traffic,communication",IMD,,566,32
UEI-IMD-FL-1972-0001,1972-05-08,1972-05-21,14.0,heavy rains,,,Kerala,,,,,,,,,,"Caused floods,land-slides in many parts of the state. Property worth about two crores of rupees was reported to have been destroyed,there was some loss of life also.",IMD,,,32
UEI-IMD-FL-1972-0006,1972-07-01,1972-07-14,14.0,heavy rains,,,Kerala,,,,,,,,,,"Caused damage to property,coconut groves. Some loss of life was also reported",IMD,,,32
UEI-IMD-FL-1975-0025,1975-06-15,1975-06-30,16.0,floods,,"Kasaragod, Wayanad, Kozhikode, Malappuram, Palakkad, Thrissur, Idukki, Ernakulam, Alappuzha, Kottayam, Pathanamthitta, Kollam, Thiruvananthapuram, Kannur",Kerala,,,,,,,,,,"The flood affected the population of about 4 to 5 lakhs causing loss of life, landslides,extensive damage to crop, the property worth several lakhs of Rupees",IMD,,"558, 567, 561, 562, 563, 566, 556, 555, 554, 560, 564, 559, 565, 557",32
UEI-IMD-FL-1975-0026,1975-11-01,1975-11-07,7.0,heavy rains,,"Thiruvananthapuram, Kollam, Alappuzha, Kottayam, Thrissur",Kerala,,,,,4.0,,,,Claimed the lives of 4 persons.,"Badly affected, There was extensive damage to standing paddy crops, There was breaches in the bunds of canals,people were rvacuated to places of safety. Agricultural operations came to a standstill. In Calicut district, landsldies, had occured in South Wayanad, In the high ranages landslides followed by heavy down pour had damaged, paddy, pepper,tuber crops",IMD,,"565, 559, 554, 560, 566",32
UEI-IMD-FL-1976-0026,1976-07-22,1976-07-28,7.0,heavy rains,,"Thiruvananthapuram, Kottayam, Ernakulam, Kozhikode,Thrissur",Kerala,,,,,20.0,,,,"Heavy landslides occured killing 20 people in Thrissur,Idukku districts",Damaging crops worth Rs. 15 lakhs,IMD,,"565, 560, 555, 561, 566",32
UEI-IMD-FL-1978-0032,1978-11-01,1978-11-07,7.0,severe,,"Thiruvananthapuram, Kollam, Alappuzha, Thrissur, Kannur,Malappuram",Kerala,,,,,44.0,1.0,,,"44 lives lost, 1 person washed away","46,000 houses dmaged, crops in 1,05,600 hectares destroyed, train tracks breached",IMD,,"565, 559, 554, 566, 557, 562",32
UEI-IMD-FL-1979-0021,1979-06-10,1979-06-19,10.0,heavy rains,,Alappuzha,Kerala,,,,,,,,,,186 hectares of paddy cultivation destroyed,IMD,,554,32
UEI-IMD-FL-1979-0022,1979-06-14,1979-06-14,1.0,heavy rains,,Ernakulam,Kerala,,,,,,,,,,i)Vehicular traffic/air services disrupted ii)Operations in port came to a standstill,IMD,,555,32
