District,Start Date,Flood_Event
Alappuzha,1999-06-07,1
Alappuzha,1999-10-18,1
Alappuzha,2000-06-08,1
Alappuzha,2000-06-17,1
Alappuzha,2000-08-22,1
Alappuzha,2001-05-26,1
Alappuzha,2001-06-15,1
Alappuzha,2001-07-08,1
Alappuzha,2004-10-04,1
Alappuzha,2005-06-15,1
Alappuzha,2005-07-22,1
Alappuzha,2006-05-27,1
Alappuzha,2006-06-01,1
Alappuzha,2006-06-23,1
Alappuzha,2007-06-22,1
Alappuzha,2007-07-14,1
Alappuzha,2007-11-03,1
Alappuzha,2008-03-13,1
Alappuzha,2008-07-28,1
Alappuzha,2008-10-19,1
Alappuzha,2009-05-26,1
Alappuzha,2009-07-15,1
Alappuzha,2009-10-03,1
Alappuzha,2010-06-11,1
Alappuzha,2010-09-17,1
Alappuzha,2010-10-03,1
Alappuzha,2010-10-18,1
Alappuzha,2011-04-25,1
Alappuzha,2011-06-01,1
Alappuzha,2011-06-05,1
Alappuzha,2011-12-31,1
Alappuzha,2013-06-27,1
Alappuzha,2013-07-11,1
Alappuzha,2013-08-04,1
Alappuzha,2014-04-10,1
Alappuzha,2014-05-03,1
Alappuzha,2014-08-01,1
Alappuzha,2015-03-03,1
Alappuzha,2015-03-13,1
Alappuzha,2015-03-27,1
Alappuzha,2015-04-06,1
Alappuzha,2015-04-19,1
Alappuzha,2015-04-26,1
Alappuzha,2015-06-08,1
Alappuzha,2015-06-19,1
Alappuzha,2015-12-08,1
Alappuzha,2016-06-16,1
Alappuzha,2017-03-15,1
Alappuzha,2018-01-08,1
Alappuzha,2018-05-29,1
Alappuzha,2018-11-16,1
Alappuzha,2018-11-17,1
Alappuzha,2019-01-11,1
Alappuzha,2019-07-18,1
Alappuzha,2019-08-19,1
Alappuzha,2019-10-08,1
Alappuzha,2019-10-21,1
Alappuzha,2020-06-09,1
Alappuzha,2020-07-08,1
Alappuzha,2020-09-08,1
Alappuzha,2020-12-08,1
Alappuzha,2021-10-09,1
Alappuzha,2021-10-11,1
Alappuzha,2021-10-16,1
Alappuzha,2021-11-05,1
Alappuzha,2021-11-13,1
Alappuzha,2021-11-15,1
Alappuzha,2022-07-16,1
Alappuzha,2022-08-02,1
Alappuzha,2023-07-03,1
Ernakulam,1998-07-12,1
Ernakulam,1999-06-07,1
Ernakulam,1999-06-16,1
Ernakulam,1999-10-18,1
Ernakulam,2004-10-04,1
Ernakulam,2005-06-15,1
Ernakulam,2005-07-22,1
Ernakulam,2006-06-01,1
Ernakulam,2007-06-22,1
Ernakulam,2007-07-02,1
Ernakulam,2009-07-15,1
Ernakulam,2009-10-03,1
Ernakulam,2010-06-11,1
Ernakulam,2010-09-17,1
Ernakulam,2011-06-05,1
Ernakulam,2012-11-01,1
Ernakulam,2012-11-17,1
Ernakulam,2013-06-25,1
Ernakulam,2013-07-11,1
Ernakulam,2013-07-23,1
Ernakulam,2013-08-04,1
Ernakulam,2014-05-03,1
Ernakulam,2015-03-03,1
Ernakulam,2015-04-06,1
Ernakulam,2015-04-11,1
Ernakulam,2015-04-26,1
Ernakulam,2015-05-03,1
Ernakulam,2015-05-10,1
Ernakulam,2015-06-19,1
Ernakulam,2015-11-01,1
Ernakulam,2016-06-16,1
Ernakulam,2018-01-08,1
Ernakulam,2018-05-29,1
Ernakulam,2019-07-18,1
Ernakulam,2019-08-08,1
Ernakulam,2019-09-08,1
Ernakulam,2019-10-08,1
Ernakulam,2019-10-21,1
Ernakulam,2019-12-06,1
Ernakulam,2020-09-08,1
Ernakulam,2020-09-20,1
Ernakulam,2021-04-13,1
Ernakulam,2021-10-11,1
Ernakulam,2021-10-12,1
Ernakulam,2021-10-16,1
Ernakulam,2021-11-10,1
Ernakulam,2022-05-18,1
Ernakulam,2022-07-10,1
Ernakulam,2022-07-16,1
Ernakulam,2022-07-28,1
Ernakulam,2022-08-02,1
Idukki,1998-06-28,1
Idukki,1998-07-02,1
Idukki,1998-07-12,1
Idukki,1998-11-01,1
Idukki,1999-05-25,1
Idukki,1999-06-07,1
Idukki,1999-06-16,1
Idukki,1999-07-17,1
Idukki,1999-10-18,1
Idukki,2000-06-08,1
Idukki,2000-07-07,1
Idukki,2000-08-22,1
Idukki,2001-07-08,1
Idukki,2003-10-05,1
Idukki,2004-06-04,1
