Date,District,Risk_Probability,Risk_Category,AI_Risk_Context
2020-01-01,Kozhikode,0.0223555859745598,LOW,"Flood risk assessment context:

District: Kozhikode
Date: 2020-01-01

Model-derived risk score:
0.022

Risk category:
LOW

Rainfall indicators available up to this date:

Rainfall in previous 1 day:
0.0 mm

Rainfall accumulated over previous 3 days:
0.5 mm

Rainfall accumulated over previous 7 days:
4.2 mm

Rainfall accumulated over previous 30 days:
8.5 mm

Maximum daily rainfall within previous 3 days:
0.5 mm

Maximum daily rainfall within previous 7 days:
2.5 mm

Rainfall-based contextual explanation:
Recent rainfall indicators are not unusually high compared with the historical dataset."
2020-01-01,Kottayam,0.0230558933735006,LOW,"Flood risk assessment context:

District: Kottayam
Date: 2020-01-01

Model-derived risk score:
0.023

Risk category:
LOW

Rainfall indicators available up to this date:

Rainfall in previous 1 day:
0.1 mm

Rainfall accumulated over previous 3 days:
1.2 mm

Rainfall accumulated over previous 7 days:
4.3 mm

Rainfall accumulated over previous 30 days:
52.0 mm

Maximum daily rainfall within previous 3 days:
1.1 mm

Maximum daily rainfall within previous 7 days:
3.1 mm

Rainfall-based contextual explanation:
Recent rainfall indicators are not unusually high compared with the historical dataset."
2020-01-01,Kasaragod,0.1071985976296329,MODERATE,"Flood risk assessment context:

District: Kasaragod
Date: 2020-01-01

Model-derived risk score:
0.107

Risk category:
MODERATE

Rainfall indicators available up to this date:

Rainfall in previous 1 day:
2.3 mm

Rainfall accumulated over previous 3 days:
4.8 mm

Rainfall accumulated over previous 7 days:
12.9 mm

Rainfall accumulated over previous 30 days:
26.2 mm

Maximum daily rainfall within previous 3 days:
2.3 mm

Maximum daily rainfall within previous 7 days:
4.0 mm

Rainfall-based contextual explanation:
Recent rainfall indicators are not unusually high compared with the historical dataset."
2020-01-01,Alappuzha,0.0230558933735006,LOW,"Flood risk assessment context:

District: Alappuzha
Date: 2020-01-01

Model-derived risk score:
0.023

Risk category:
LOW

Rainfall indicators available up to this date:

Rainfall in previous 1 day:
0.1 mm

Rainfall accumulated over previous 3 days:
1.2 mm

Rainfall accumulated over previous 7 days:
4.3 mm

Rainfall accumulated over previous 30 days:
52.0 mm

Maximum daily rainfall within previous 3 days:
1.1 mm

Maximum daily rainfall within previous 7 days:
3.1 mm

Rainfall-based contextual explanation:
Recent rainfall indicators are not unusually high compared with the historical dataset."
2020-01-01,Thiruvananthapuram,0.0201770237371496,LOW,"Flood risk assessment context:

District: Thiruvananthapuram
Date: 2020-01-01

Model-derived risk score:
0.020

Risk category:
LOW

Rainfall indicators available up to this date:

Rainfall in previous 1 day:
0.2 mm

Rainfall accumulated over previous 3 days:
0.4 mm

Rainfall accumulated over previous 7 days:
2.5 mm

Rainfall accumulated over previous 30 days:
66.0 mm

Maximum daily rainfall within previous 3 days:
0.2 mm

Maximum daily rainfall within previous 7 days:
2.1 mm

Rainfall-based contextual explanation:
Recent rainfall indicators are not unusually high compared with the historical dataset."
2020-01-01,Idukki,0.0405219971844505,LOW,"Flood risk assessment context:

District: Idukki
Date: 2020-01-01

Model-derived risk score:
0.041

Risk category:
LOW

Rainfall indicators available up to this date:

Rainfall in previous 1 day:
0.1 mm

Rainfall accumulated over previous 3 days:
0.9 mm

Rainfall accumulated over previous 7 days:
6.3 mm

Rainfall accumulated over previous 30 days:
50.8 mm

Maximum daily rainfall within previous 3 days:
0.6 mm

Maximum daily rainfall within previous 7 days:
3.9 mm

Rainfall-based contextual explanation:
Recent rainfall indicators are not unusually high compared with the historical dataset."
2020-01-01,Pathanamthitta,0.0862552567750162,LOW,"Flood risk assessment context:

District: Pathanamthitta
Date: 2020-01-01

Model-derived risk score:
0.086

Risk category:
LOW

Rainfall indicators available up to this date:

Rainfall in previous 1 day:
0.8 mm

Rainfall accumulated over previous 3 days:
2.4 mm

Rainfall accumulated over previous 7 days:
3.4 mm

Rainfall accumulated over previous 30 days:
88.9 mm

Maximum daily rainfall within previous 3 days:
1.6 mm

Maximum daily rainfall within previous 7 days:
1.6 mm

Rainfall-based contextual explanation:
Recent rainfall indicators are not unusually high compared with the historical dataset."
2020-01-01,Thrissur,0.0024410592155627,LOW,"Flood risk assessment context:

District: Thrissur
Date: 2020-01-01

Model-derived risk score:
0.002

Risk category:
LOW

Rainfall indicators available up to this date:

Rainfall in previous 1 day:
0.0 mm

Rainfall accumulated over previous 3 days:
0.0 mm

Rainfall accumulated over previous 7 days:
0.3 mm

Rainfall accumulated over previous 30 days:
4.6 mm

Maximum daily rainfall within previous 3 days:
0.0 mm

Maximum daily rainfall within previous 7 days:
0.3 mm

Rainfall-based contextual explanation:
Recent rainfall indicators are not unusually high compared with the historical dataset."
2020-01-01,Ernakulam,0.0012478793297902,LOW,"Flood risk assessment context:

District: Ernakulam
Date: 2020-01-01

Model-derived risk score:
0.001

Risk category:
LOW

Rainfall indicators available up to this date:

Rainfall in previous 1 day:
0.0 mm

Rainfall accumulated over previous 3 days:
0.0 mm

Rainfall accumulated over previous 7 days:
2.0 mm

Rainfall accumulated over previous 30 days:
17.5 mm

Maximum daily rainfall within previous 3 days:
0.0 mm

Maximum daily rainfall within previous 7 days:
1.9 mm

Rainfall-based contextual explanation:
Recent rainfall indicators are not unusually high compared with the historical dataset."
2020-01-01,Kollam,0.0764166509111227,LOW,"Flood risk assessment context:

District: Kollam
Date: 2020-01-01

Model-derived risk score:
0.076

Risk category:
LOW

Rainfall indicators available up to this date:

Rainfall in previous 1 day:
0.0 mm

Rainfall accumulated over previous 3 days:
1.3 mm

Rainfall accumulated over previous 7 days:
2.0 mm

Rainfall accumulated over previous 30 days:
50.0 mm

Maximum daily rainfall within previous 3 days:
1.3 mm

Maximum daily rainfall within previous 7 days:
1.3 mm

Rainfall-based contextual explanation:
Recent rainfall indicators are not unusually high compared with the historical dataset."
2020-01-01,Wayanad,0.0026386808436242,LOW,"Flood risk assessment context:

District: Wayanad
Date: 2020-01-01

Model-derived risk score:
0.003

Risk category:
LOW

Rainfall indicators available up to this date:

Rainfall in previous 1 day:
0.0 mm

Rainfall accumulated over previous 3 days:
0.0 mm

Rainfall accumulated over previous 7 days:
0.4 mm

Rainfall accumulated over previous 30 days:
9.2 mm

Maximum daily rainfall within previous 3 days:
0.0 mm

Maximum daily rainfall within previous 7 days:
0.4 mm

Rainfall-based contextual explanation:
Recent rainfall indicators are not unusually high compared with the historical dataset."
2020-01-01,Malappuram,0.0028477040138022,LOW,"Flood risk assessment context:

District: Malappuram
Date: 2020-01-01

Model-derived risk score:
0.003

Risk category:
LOW

Rainfall indicators available up to this date:

Rainfall in previous 1 day:
0.0 mm

Rainfall accumulated over previous 3 days:
0.1 mm

Rainfall accumulated over previous 7 days:
3.7 mm

Rainfall accumulated over previous 30 days:
10.9 mm

Maximum daily rainfall within previous 3 days:
0.1 mm

Maximum daily rainfall within previous 7 days:
3.0 mm

Rainfall-based contextual explanation:
Recent rainfall indicators are not unusually high compared with the historical dataset."
2020-01-01,Palakkad,0.0026546827544584,LOW,"Flood risk assessment context:

District: Palakkad
Date: 2020-01-01

Model-derived risk score:
0.003

Risk category:
LOW

Rainfall indicators available up to this date:

Rainfall in previous 1 day:
0.0 mm

Rainfall accumulated over previous 3 days:
0.0 mm

Rainfall accumulated over previous 7 days:
0.2 mm

Rainfall accumulated over previous 30 days:
4.1 mm

Maximum daily rainfall within previous 3 days:
0.0 mm

Maximum daily rainfall within previous 7 days:
0.2 mm

Rainfall-based contextual explanation:
Recent rainfall indicators are not unusually high compared with the historical dataset."
2020-01-01,Kannur,0.0442138049207036,LOW,"Flood risk assessment context:

District: Kannur
Date: 2020-01-01

Model-derived risk score:
0.044

Risk category:
LOW

Rainfall indicators available up to this date:

Rainfall in previous 1 day:
1.2 mm

Rainfall accumulated over previous 3 days:
2.5 mm

Rainfall accumulated over previous 7 days:
9.3 mm

Rainfall accumulated over previous 30 days:
30.1 mm

Maximum daily rainfall within previous 3 days:
1.2 mm

Maximum daily rainfall within previous 7 days:
3.1 mm

Rainfall-based contextual explanation:
Recent rainfall indicators are not unusually high compared with the historical dataset."
