District,Date,Flood_Onset,Flood_Active,Clean_NonFlood,Flood_Tomorrow,Rainfall_1d,Rainfall_3d,Rainfall_7d,Rainfall_30d,Rainfall_3d_max,Rainfall_7d_max
Alappuzha,1998-01-01,0,0,1,0,0.2,0.2,0.2,0.2,0.2,0.2
Alappuzha,1998-01-02,0,0,1,0,4.4,4.6000000000000005,4.6000000000000005,4.6000000000000005,4.4,4.4
Alappuzha,1998-01-03,0,0,1,0,0.0,4.6000000000000005,4.6000000000000005,4.6000000000000005,4.4,4.4
Alappuzha,1998-01-04,0,0,1,0,0.0,4.4,4.6000000000000005,4.6000000000000005,4.4,4.4
Alappuzha,1998-01-05,0,0,1,0,0.0,0.0,4.6000000000000005,4.6000000000000005,0.0,4.4
Alappuzha,1998-01-06,0,0,1,0,0.0,0.0,4.6000000000000005,4.6000000000000005,0.0,4.4
Alappuzha,1998-01-07,0,0,1,0,0.0,0.0,4.6000000000000005,4.6000000000000005,0.0,4.4
Alappuzha,1998-01-08,0,0,1,0,0.0,0.0,4.4,4.6000000000000005,0.0,4.4
Alappuzha,1998-01-09,0,0,1,0,0.0,0.0,0.0,4.6000000000000005,0.0,0.0
Alappuzha,1998-01-10,0,0,1,0,0.0,0.0,0.0,4.6000000000000005,0.0,0.0
Alappuzha,1998-01-11,0,0,1,0,0.0,0.0,0.0,4.6000000000000005,0.0,0.0
Alappuzha,1998-01-12,0,0,1,0,0.0,0.0,0.0,4.6000000000000005,0.0,0.0
Alappuzha,1998-01-13,0,0,1,0,0.0,0.0,0.0,4.6000000000000005,0.0,0.0
Alappuzha,1998-01-14,0,0,1,0,0.0,0.0,0.0,4.6000000000000005,0.0,0.0
Alappuzha,1998-01-15,0,0,1,0,0.0,0.0,0.0,4.6000000000000005,0.0,0.0
Alappuzha,1998-01-16,0,0,1,0,0.0,0.0,0.0,4.6000000000000005,0.0,0.0
Alappuzha,1998-01-17,0,0,1,0,1.0,1.0,1.0,5.6000000000000005,1.0,1.0
Alappuzha,1998-01-18,0,0,1,0,0.2,1.2,1.2,5.800000000000001,1.0,1.0
Alappuzha,1998-01-19,0,0,1,0,1.7,2.9,2.9,7.5,1.7,1.7
Alappuzha,1998-01-20,0,0,1,0,0.8,2.7,3.7,8.3,1.7,1.7
